"sampleID" "broad.cluster" "cluster" "diagnosis"
"928" 6 "L" "L2/3" "ASD"
"929" 6 "L" "L2/3" "ASD"
"930" 6 "L" "L2/3" "ASD"
"932" 6 "L" "L2/3" "ASD"
"933" 6 "L" "L2/3" "ASD"
"934" 6 "L" "L2/3" "ASD"
"935" 6 "L" "L2/3" "ASD"
"936" 6 "L" "L2/3" "ASD"
"938" 6 "L" "L2/3" "ASD"
"939" 6 "L" "L4" "ASD"
"940" 6 "L" "L4" "ASD"
"941" 6 "L" "L4" "ASD"
"942" 6 "L" "L4" "ASD"
"943" 6 "L" "L5/6-CC" "ASD"
"948" 6 "L" "L2/3" "ASD"
"949" 6 "L" "L5/6" "ASD"
"950" 6 "L" "L5/6" "ASD"
"951" 6 "L" "L5/6-CC" "ASD"
"969" 6 "L" "L2/3" "ASD"
"1040" 6 "L" "L4" "ASD"
"1053" 7 "L" "L2/3" "Control"
"1054" 7 "L" "L5/6-CC" "Control"
"1060" 7 "L" "L2/3" "Control"
"1061" 7 "L" "L4" "Control"
"1062" 7 "L" "L5/6" "Control"
"1063" 7 "L" "L5/6-CC" "Control"
"1064" 7 "L" "L5/6-CC" "Control"
"1066" 7 "L" "L2/3" "Control"
"1067" 7 "L" "L2/3" "Control"
"1068" 7 "L" "L4" "Control"
"1069" 7 "L" "L5/6-CC" "Control"
"1071" 7 "L" "L2/3" "Control"
"1072" 7 "L" "L2/3" "Control"
"1077" 7 "L" "L2/3" "Control"
"1082" 7 "L" "L2/3" "Control"
"1298" 8 "L" "L2/3" "Control"
"1299" 8 "L" "L2/3" "Control"
"1300" 8 "L" "L2/3" "Control"
"1301" 8 "L" "L2/3" "Control"
"1302" 8 "L" "L4" "Control"
"1303" 8 "L" "L5/6-CC" "Control"
"1305" 8 "L" "L4" "Control"
"1306" 8 "L" "L4" "Control"
"1307" 8 "L" "L5/6-CC" "Control"
"1309" 8 "L" "L5/6" "Control"
"1310" 8 "L" "L5/6" "Control"
"1311" 8 "L" "L5/6" "Control"
"1312" 8 "L" "L5/6" "Control"
"1313" 8 "L" "L5/6" "Control"
"1314" 8 "L" "L5/6-CC" "Control"
"1316" 8 "L" "L2/3" "Control"
"1317" 8 "L" "L4" "Control"
"1318" 8 "L" "L5/6-CC" "Control"
"1319" 8 "L" "L5/6-CC" "Control"
"1320" 8 "L" "L5/6-CC" "Control"
"1321" 8 "L" "L5/6-CC" "Control"
"1322" 8 "L" "L5/6-CC" "Control"
"1324" 9 "L" "L5/6-CC" "ASD"
"1340" 9 "L" "L5/6" "ASD"
"1341" 9 "L" "L5/6" "ASD"
"1342" 9 "L" "L5/6" "ASD"
"1343" 9 "L" "L5/6" "ASD"
"1346" 9 "L" "L2/3" "ASD"
"1347" 9 "L" "L4" "ASD"
"1348" 9 "L" "L5/6-CC" "ASD"
"1349" 9 "L" "L5/6-CC" "ASD"
"1350" 9 "L" "L5/6-CC" "ASD"
"1352" 9 "L" "L2/3" "ASD"
"1353" 9 "L" "L2/3" "ASD"
"1354" 9 "L" "L2/3" "ASD"
"1355" 9 "L" "L2/3" "ASD"
"1356" 9 "L" "L2/3" "ASD"
"1357" 9 "L" "L2/3" "ASD"
"1358" 9 "L" "L5/6-CC" "ASD"
"1360" 9 "L" "L2/3" "ASD"
"1361" 9 "L" "L4" "ASD"
"1362" 9 "L" "L5/6-CC" "ASD"
"1363" 9 "L" "L5/6-CC" "ASD"
"1365" 9 "L" "L2/3" "ASD"
"1366" 9 "L" "L2/3" "ASD"
"1367" 9 "L" "L2/3" "ASD"
"1368" 9 "L" "L4" "ASD"
"1369" 9 "L" "L4" "ASD"
"1370" 9 "L" "L5/6" "ASD"
"1371" 9 "L" "L5/6-CC" "ASD"
"1383" 9 "L" "L5/6-CC" "ASD"
"1391" 9 "L" "L5/6-CC" "ASD"
"1437" 10 "L" "L2/3" "ASD"
"1438" 10 "L" "L4" "ASD"
"1439" 10 "L" "L4" "ASD"
"1440" 10 "L" "L4" "ASD"
"1441" 10 "L" "L4" "ASD"
"1442" 10 "L" "L4" "ASD"
"1444" 10 "L" "L2/3" "ASD"
"1445" 10 "L" "L4" "ASD"
"1446" 10 "L" "L4" "ASD"
"1447" 10 "L" "L2/3" "ASD"
"1448" 10 "L" "L4" "ASD"
"1449" 10 "L" "L4" "ASD"
"1450" 10 "L" "L4" "ASD"
"1451" 10 "L" "L5/6" "ASD"
"1452" 10 "L" "L5/6-CC" "ASD"
"1453" 10 "L" "L2/3" "ASD"
"1454" 10 "L" "L2/3" "ASD"
"1455" 10 "L" "L2/3" "ASD"
"1456" 10 "L" "L2/3" "ASD"
"1457" 10 "L" "L2/3" "ASD"
"1458" 10 "L" "L2/3" "ASD"
"1460" 10 "L" "L2/3" "ASD"
"1461" 10 "L" "L2/3" "ASD"
"1462" 10 "L" "L2/3" "ASD"
"1463" 10 "L" "L2/3" "ASD"
"1464" 10 "L" "L2/3" "ASD"
"1465" 10 "L" "L2/3" "ASD"
"1466" 10 "L" "L2/3" "ASD"
"1468" 10 "L" "L2/3" "ASD"
"1469" 10 "L" "L2/3" "ASD"
