"sampleID" "broad.cluster" "cluster" "diagnosis"
"mc_L_228" 5 "L" "L2/3" "ASD"
"mc_L_229" 5 "L" "L5/6-CC" "ASD"
"mc_L_230" 5 "L" "L2/3" "ASD"
"mc_L_231" 5 "L" "L2/3" "ASD"
"mc_L_232" 5 "L" "L2/3" "ASD"
"mc_L_233" 5 "L" "L4" "ASD"
"mc_L_234" 5 "L" "L5/6" "ASD"
"mc_L_235" 5 "L" "L5/6-CC" "ASD"
"mc_L_236" 6 "L" "L2/3" "ASD"
"mc_L_237" 6 "L" "L2/3" "ASD"
"mc_L_238" 6 "L" "L2/3" "ASD"
"mc_L_239" 6 "L" "L2/3" "ASD"
"mc_L_240" 6 "L" "L2/3" "ASD"
"mc_L_241" 6 "L" "L2/3" "ASD"
"mc_L_242" 6 "L" "L2/3" "ASD"
"mc_L_243" 6 "L" "L2/3" "ASD"
"mc_L_244" 6 "L" "L2/3" "ASD"
"mc_L_245" 6 "L" "L2/3" "ASD"
"mc_L_246" 6 "L" "L2/3" "ASD"
"mc_L_247" 6 "L" "L4" "ASD"
"mc_L_248" 6 "L" "L4" "ASD"
"mc_L_249" 6 "L" "L4" "ASD"
"mc_L_250" 6 "L" "L4" "ASD"
"mc_L_251" 6 "L" "L5/6-CC" "ASD"
"mc_L_252" 6 "L" "L2/3" "ASD"
"mc_L_253" 6 "L" "L5/6" "ASD"
"mc_L_254" 6 "L" "L5/6" "ASD"
"mc_L_255" 6 "L" "L5/6-CC" "ASD"
"mc_L_256" 6 "L" "L2/3" "ASD"
"mc_L_257" 6 "L" "L4" "ASD"
"mc_L_258" 7 "L" "L2/3" "Control"
"mc_L_259" 7 "L" "L5/6-CC" "Control"
"mc_L_260" 7 "L" "L2/3" "Control"
"mc_L_261" 7 "L" "L4" "Control"
"mc_L_262" 7 "L" "L5/6" "Control"
"mc_L_263" 7 "L" "L5/6-CC" "Control"
"mc_L_264" 7 "L" "L5/6-CC" "Control"
